slug,display,tier,bench,task,agent,n,accuracy,ir,sem_ir,sur_ir,delta,para,syn,reord,fmt,dist,in_A,in_B
llama31_8b,Llama-3.1-8B,strong,gsm8k,shallow_arith,cot,20,0.7,0.85,0.525,0.5,0.025000000000000022,0.55,0.5,0.55,0.5,0.45,1,0
llama31_8b,Llama-3.1-8B,strong,gsm8k,shallow_arith,react,20,0.45,1.0,0.725,0.7666666666666667,-0.04166666666666674,0.75,0.8333333333333334,0.75,0.85,0.7,1,0
llama31_8b,Llama-3.1-8B,strong,math,deep_math,cot,20,0.6,0.85,0.5882352941176471,0.5999999999999999,-0.011764705882352788,0.6470588235294118,0.5714285714285714,0.5,0.6,0.7,0,1
llama31_8b,Llama-3.1-8B,strong,math,deep_math,react,20,0.2,1.0,0.8235294117647058,0.8666666666666666,-0.04313725490196074,0.8235294117647058,0.7142857142857143,0.8333333333333334,0.85,0.9,0,1
llama32_1b,Llama-3.2-1B,weak,gsm8k,shallow_arith,cot,20,0.4,1.0,0.85,0.85,0.0,0.85,0.8333333333333334,0.85,0.85,0.85,0,1
llama32_1b,Llama-3.2-1B,weak,gsm8k,shallow_arith,react,20,0.15,1.0,0.925,0.9166666666666667,0.008333333333333304,0.9,1.0,0.95,0.85,0.95,0,1
llama32_1b,Llama-3.2-1B,weak,math,deep_math,cot,20,0.45,0.9,0.7941176470588235,0.7833333333333334,0.010784313725490047,0.8235294117647058,0.7142857142857143,0.8333333333333334,0.7,0.8,0,1
llama32_1b,Llama-3.2-1B,weak,math,deep_math,react,20,0.1,1.0,0.8823529411764706,0.8833333333333332,-0.0009803921568626306,0.9411764705882353,0.7142857142857143,0.8333333333333334,0.85,0.95,0,1
llama32_3b,Llama-3.2-3B,mid,gsm8k,shallow_arith,cot,20,0.75,0.65,0.375,0.3333333333333333,0.041666666666666685,0.35,0.6666666666666666,0.35,0.4,0.25,0,0
llama32_3b,Llama-3.2-3B,mid,gsm8k,shallow_arith,react,20,0.1,1.0,0.9,0.6833333333333332,0.21666666666666679,0.95,0.6666666666666666,0.65,0.7,0.7,0,0
llama32_3b,Llama-3.2-3B,mid,math,deep_math,cot,20,0.5,0.95,0.5882352941176471,0.6666666666666666,-0.07843137254901955,0.6470588235294118,0.5714285714285714,0.8888888888888888,0.45,0.7,0,1
llama32_3b,Llama-3.2-3B,mid,math,deep_math,react,20,0.2,1.0,0.7647058823529411,0.6166666666666666,0.14803921568627454,0.7647058823529411,0.7142857142857143,0.6666666666666666,0.6,0.6,0,1
qwen25_3b,Qwen2.5-3B,mid,gsm8k,shallow_arith,cot,20,0.7,0.75,0.525,0.35,0.17500000000000004,0.5,0.8333333333333334,0.4,0.3,0.35,0,0
qwen25_3b,Qwen2.5-3B,mid,gsm8k,shallow_arith,react,20,0.3,0.95,0.775,0.8,-0.025000000000000022,0.75,0.8333333333333334,0.8,0.8,0.8,0,0
qwen25_3b,Qwen2.5-3B,mid,math,deep_math,cot,20,0.3,0.9,0.6764705882352942,0.7249999999999999,-0.04852941176470571,0.7058823529411765,0.5714285714285714,0.7777777777777778,0.7,0.7,0,1
